15 100
7 9 7
12 6 7
8 12 10
8 6 1
3 4 3
10 10 4
9 7 1
7 15 7
13 10 1
1 12 2
5 11 6
13 14 8
5 6 1
4 14 3
4 8 1
3 2 6
14 2 4
4 9 10
12 6 9
4 6 3
6 2 10
8 15 8
7 4 8
3 14 3
10 9 10
6 3 3
3 1 2
13 12 5
7 8 2
2 12 4
9 9 6
3 8 7
2 14 10
7 8 10
9 10 3
11 7 5
5 1 1
1 13 2
12 4 6
13 5 4
12 6 9
4 15 6
10 2 7
11 8 1
10 8 10
9 10 6
3 15 6
5 7 5
3 4 8
1 8 10
9 11 2
3 14 3
10 15 9
8 10 3
6 11 8
5 11 2
3 14 3
15 10 10
2 13 10
14 13 2
15 13 3
13 7 6
11 2 3
1 1 9
6 6 5
3 3 5
9 12 5
7 3 5
3 4 9
2 10 3
8 1 2
2 14 4
10 1 7
2 1 9
10 13 2
6 15 6
6 1 7
2 14 6
8 1 5
3 9 6
2 8 6
14 10 1
9 4 1
5 5 9
8 6 6
9 12 3
11 9 8
2 10 6
10 10 8
6 12 1
11 14 10
8 4 4
11 12 4
13 1 10
8 15 1
9 1 2
8 11 10
15 5 1
12 14 10
9 4 9
